                    Mean        MCSE        StdDev            5%           50%           95%       N_Eff   N_Eff/s    R_hat
dL[185]     5.295630e+00    0.000330      0.022772  5.258290e+00  5.295920e+00  5.333660e+00  4775.17000  2.199370  1.00010
dL[186]     5.312190e+00    0.000331      0.022869  5.274610e+00  5.312500e+00  5.350280e+00  4775.78000  2.199650  1.00010
dL[187]     5.313660e+00    0.000331      0.022877  5.276070e+00  5.313980e+00  5.351770e+00  4775.81000  2.199670  1.00010
dL[188]     5.319480e+00    0.000332      0.022911  5.281860e+00  5.319790e+00  5.357650e+00  4775.98000  2.199740  1.00010
dL[189]     5.323940e+00    0.000332      0.022937  5.286300e+00  5.324250e+00  5.362160e+00  4776.04000  2.199770  1.00010
dL[190]     5.355370e+00    0.000335      0.023123  5.317550e+00  5.355650e+00  5.393920e+00  4776.24000  2.199870  1.00010
dL[191]     5.364400e+00    0.000335      0.023176  5.326540e+00  5.364760e+00  5.403110e+00  4776.18000  2.199830  1.00010
dL[192]     5.367650e+00    0.000336      0.023196  5.329740e+00  5.367980e+00  5.406420e+00  4776.08000  2.199790  1.00010
dL[193]     5.381610e+00    0.000337      0.023279  5.343480e+00  5.381910e+00  5.420590e+00  4775.76000  2.199640  1.00010
dL[194]     5.385010e+00    0.000337      0.023299  5.346880e+00  5.385310e+00  5.424030e+00  4775.74000  2.199630  1.00010
dL[195]     5.415770e+00    0.000340      0.023484  5.377270e+00  5.416040e+00  5.455070e+00  4774.35000  2.198990  1.00010
dL[196]     5.442770e+00    0.000342      0.023649  5.403890e+00  5.443010e+00  5.482310e+00  4772.60000  2.198190  1.00010
dL[197]     5.470920e+00    0.000345      0.023821  5.431590e+00  5.471090e+00  5.510710e+00  4770.18000  2.197070  1.00010
dL[198]     5.479880e+00    0.000346      0.023877  5.440460e+00  5.480020e+00  5.519770e+00  4769.27000  2.196660  1.00010
dL[199]     5.486600e+00    0.000346      0.023918  5.447090e+00  5.486710e+00  5.526600e+00  4768.59000  2.196340  1.00010
dL[200]     5.488850e+00    0.000347      0.023932  5.449310e+00  5.488950e+00  5.528870e+00  4768.35000  2.196230  1.00010
dL[201]     5.497760e+00    0.000347      0.023988  5.458090e+00  5.497910e+00  5.537870e+00  4767.36000  2.195780  1.00010
dL[202]     5.508130e+00    0.000348      0.024052  5.468370e+00  5.508230e+00  5.548320e+00  4766.11000  2.195200  1.00010
dL[203]     5.510240e+00    0.000349      0.024066  5.470460e+00  5.510330e+00  5.550450e+00  4765.82000  2.195070  1.00010
dL[204]     5.510700e+00    0.000349      0.024068  5.470920e+00  5.510780e+00  5.550910e+00  4765.81000  2.195060  1.00010
dL[205]     5.529530e+00    0.000350      0.024186  5.489610e+00  5.529630e+00  5.569860e+00  4763.30000  2.193910  1.00010
dL[206]     5.577890e+00    0.000355      0.024493  5.537490e+00  5.578000e+00  5.618820e+00  4755.86000  2.190480  1.00010
dL[207]     5.607280e+00    0.000358      0.024681  5.566470e+00  5.607330e+00  5.648360e+00  4750.60000  2.188050  1.00010
dL[208]     5.612760e+00    0.000359      0.024716  5.571870e+00  5.612810e+00  5.653910e+00  4749.50000  2.187550  1.00010
